vel,angs,logCountM,distDif,clickD,clickTotalM,backSpaceM,leftSideM,rigthSideM,stressLevelM
1970.2415885322068,38.78353802006487,285,1748.0321105437702,15450.0,3,0,0,0,1
14596.761361893396,29.682391355881755,1738,11322.131678165966,96218.0,9,0,2,0,3
12453.825688017532,28.48883584351052,1229,11661.823500664934,132188.0,5,0,2,0,3
4715.181456502135,22.935090812821787,606,3912.493467272665,40930.0,3,0,1,0,3
10980.772061890688,26.960776477195903,1266,10139.090078054129,66522.0,5,0,2,0,3
6390.073896341132,30.721250722364104,813,4516.6907093166,152837.0,3,0,0,0,2
5301.001066920734,25.902186072884746,695,5161.73378073455,53295.0,4,0,0,0,3
4683.711816722586,30.01238073948315,581,3998.520582082093,28520.0,3,0,0,0,3
5883.884579242057,25.889916306638124,1004,5092.417359136483,35544.0,3,0,0,0,2
9134.512246376027,17.72366155303677,649,3994.982309130068,51688.0,4,0,0,0,3
4078.4817989915887,18.366804679123977,560,3366.258770403702,48521.0,5,0,0,0,3
1709.9003799000182,24.408597424923723,224,1025.5803532826442,26693.0,2,0,0,0,3
2404.361772280188,19.86482740459889,292,2146.353622528436,17765.0,3,0,0,0,3
6105.875772659207,21.26691196488095,709,5394.524855506197,27032.0,4,0,0,0,2
1724.0210103173172,26.98570312306922,255,804.3258640012584,8610.0,3,0,0,0,2
1003.7810081381508,21.722147810328387,232,858.9371395341959,13008.0,4,0,0,0,2
5969.354115706726,22.05673034264337,490,5421.694730255953,22245.0,3,0,0,0,2
6105.875772659207,21.26691196488095,709,5394.524855506197,27032.0,4,0,0,0,2
1724.0210103173172,26.98570312306922,255,804.3258640012584,8610.0,3,0,0,0,2
1003.7810081381508,21.722147810328387,232,858.9371395341959,13008.0,4,0,0,0,2
5969.354115706726,22.05673034264337,490,5421.694730255953,22245.0,3,0,0,0,2
5448.133977749978,29.261937778186816,922,3120.490785264285,59800.0,11,0,0,0,2
3594.0384183781166,31.741162827063015,441,3216.5125942822733,70462.0,7,0,0,0,2
4851.914392333763,31.51130916475313,779,3804.820280118064,67316.0,5,0,0,0,2
2716.2822954825847,27.254615252819477,294,2005.822684973988,55885.0,5,0,0,0,2
9704.284513540571,34.082215503785974,957,8422.929042115911,68594.0,7,0,0,0,2
1343.6543902388796,27.478569705040165,124,714.394513470512,11411.0,2,0,0,0,2
4513.188333628757,32.02319097510474,381,4153.616925787099,46657.0,6,0,0,0,2
12730.984000967665,38.35186630797322,674,11842.266920071585,497105.0,6,0,0,0,2
9704.284513540571,34.082215503785974,957,8422.929042115911,68594.0,7,0,0,0,2
1343.6543902388796,27.478569705040165,124,714.394513470512,11411.0,2,0,0,0,2
4513.188333628757,32.02319097510474,381,4153.616925787099,46657.0,6,0,0,0,2
12730.984000967665,38.35186630797322,674,11842.266920071585,497105.0,6,0,0,0,2
9550.794364646796,33.37633139741167,626,4947.608906318209,157044.0,12,0,0,0,2
5076.358551121609,30.66997216264963,588,2555.473672843141,64891.0,8,0,0,0,2
3956.683131846657,50.23852216708923,457,1429.589269687625,58581.0,8,0,0,0,1
2452.625360654816,37.20196938800069,340,1564.3107296703952,29781.0,5,0,0,0,1
3047.163177423772,25.73958989729401,201,2034.642312633281,41604.0,6,0,0,0,3
1411.1004581611096,23.671073087286405,173,865.215933038875,46332.0,3,0,0,0,3
920.033945330812,25.15188052212668,209,110.0287446343857,26831.0,6,0,0,0,3
1831.2654862804973,23.47732703329148,174,1272.3939837738938,44433.0,3,0,0,0,3
6899.12730632552,27.163548178546627,626,5327.154331235543,67262.0,8,0,0,0,2
424.7539000817,28.100751481477147,174,123.34445167487264,15776.0,3,0,0,0,2
127.57231908087724,29.706419771022823,74,272.5851390002357,16807.0,3,0,0,0,2
746.6282251078479,27.102055813984663,175,90.27241645391268,21440.0,3,0,0,0,2
6350.219852538813,36.41207688546231,889,5101.434509415282,51288.0,5,0,0,0,2
4451.561872118178,35.00131638121504,668,4123.374525002757,36736.0,4,0,0,0,2
4146.73739482319,33.28140078380449,604,3891.2730260352914,38320.0,2,0,0,0,2
781.3146969204051,35.47333150600708,282,223.23979493737036,17656.0,4,0,0,0,2
5011.994119149967,29.33636672797165,803,4584.892864698498,51423.0,4,0,0,0,3
559.900570049918,32.019968089757086,185,22.129807560440213,30977.0,3,0,0,0,3
792.9915285293297,32.182466739194,186,666.0159155079173,27649.0,3,0,0,0,3
202.6632326935657,28.285854768927056,88,8.39657889972267,17097.0,3,0,0,0,3
6868.759108258926,21.517204768622506,1171,5094.935286560907,47120.0,5,0,0,0,3
4416.3181019061,23.846071930303623,678,3887.615277704997,17576.0,3,0,0,0,3
2040.6983022995744,25.606644179164523,512,2298.4900677864284,16560.0,3,0,0,0,3
2555.247865309363,23.30379428535436,605,2051.068907200364,22479.0,3,0,0,0,3
9954.25888695165,25.37380659578077,1012,8637.441634216691,74357.0,6,0,2,0,3
7549.697737390271,24.0310333577289,926,6778.3028154029,81999.0,4,0,1,0,3
534.531609916613,25.04541733190445,199,73.03510622587885,12991.0,3,0,0,0,3
381.3169802432269,25.548552665851588,178,128.5310776945546,24168.0,3,0,0,0,3
10829.961226331305,24.65040384757579,1528,9570.000177987573,56279.0,6,0,0,0,3
